# Spanish	English — generated by scripts/build_install_lang_tsv.py
Opción desconocida: $1. Usa --help para ver opciones.	Unknown option: $1. Use --help for options.
Ejecuta con sudo/root	Run as root/sudo
Configurando hostname '$CURRENT_HOSTNAME' en /etc/hosts...	Configuring hostname '$CURRENT_HOSTNAME' in /etc/hosts...
Hostname configurado en /etc/hosts	Hostname configured in /etc/hosts
Sistema: $OS $OS_VERSION	System: $OS $OS_VERSION
No se pudo detectar el sistema operativo	Could not detect the operating system
Instalando git...	Installing git...
Git listo	Git ready
Git: $(git --version)	Git: $(git --version)
Go ya instalado: $(go version)	Go already installed: $(go version)
Instalando Go (Golang) desde apt...	Installing Go (Golang) from apt...
Go instalado: $(go version)	Go installed: $(go version)
Go no disponible tras apt-get install golang-go	Go not available after apt-get install golang-go
Instalando dependencias...	Installing dependencies...
Instalando hostapd, wpa_supplicant y herramientas WiFi...	Installing hostapd, wpa_supplicant, and WiFi tools...
Instalando ${package}...	Installing ${package}...
Paquetes faltantes: ${missing_critical[*]} (algunas funciones WiFi pueden no estar disponibles)	Missing packages: ${missing_critical[*]} (some WiFi features may be unavailable)
Instalando Tor, OpenVPN y WireGuard...	Installing Tor, OpenVPN, and WireGuard...
${pkg}: ya instalado	${pkg}: already installed
${pkg}: instalado	${pkg}: installed
wireguard: instalado (incluye herramientas)	wireguard: installed (includes tools)
No se pudo instalar WireGuard. Manual: sudo apt-get install wireguard-tools	Could not install WireGuard. Manual: sudo apt-get install wireguard-tools
No se pudo instalar ${pkg}. Manual: sudo apt-get install ${pkg}	Could not install ${pkg}. Manual: sudo apt-get install ${pkg}
Proyecto local detectado: usando código local (sin clonar GitHub)...	Local project detected: using local code (no GitHub clone)...
Modo actualización: descargando desde GitHub...	Update mode: downloading from GitHub...
Descargando proyecto desde GitHub...	Downloading project from GitHub...
Proyecto descargado desde GitHub	Project downloaded from GitHub
Error al descargar el proyecto desde GitHub	Failed to download the project from GitHub
Verifica tu conexión a internet y que el repositorio sea accesible	Check your internet connection and that the repository is reachable
Modo actualización: preservando datos y configuración...	Update mode: preserving data and configuration...
Deteniendo servicio ${SERVICE_NAME}...	Stopping service ${SERVICE_NAME}...
Guardando backup de base de datos...	Saving database backup...
Backup de base de datos guardado en $TEMP_BACKUP_DIR/data	Database backup saved to $TEMP_BACKUP_DIR/data
Base de datos respaldada: $DB_SIZE	Database backed up: $DB_SIZE
ERROR: No se pudo hacer backup de la base de datos	ERROR: Could not back up the database
Abortando actualización para proteger los datos	Aborting update to protect your data
Directorio de datos no encontrado: $DATA_DIR	Data directory not found: $DATA_DIR
Guardando backup de configuración...	Saving configuration backup...
Configuración respaldada	Configuration backed up
No se pudo hacer backup de la configuración	Could not back up the configuration
Moviendo directorio de datos temporalmente para preservarlo...	Moving data directory temporarily to preserve it...
Base de datos encontrada: $DB_SIZE	Database found: $DB_SIZE
Directorio de datos movido temporalmente a $TEMP_DATA_DIR	Data directory moved temporarily to $TEMP_DATA_DIR
Base de datos preservada en directorio temporal	Database preserved in temporary directory
Advertencia: No se encontró hostberry.db en el directorio temporal	Warning: hostberry.db not found in the temporary directory
mv falló al mover $DATA_DIR; intentando cp -a como fallback...	mv failed while moving $DATA_DIR; trying cp -a as fallback...
Directorio de datos copiado/respaldado en $TEMP_DATA_DIR	Data directory copied/backed up to $TEMP_DATA_DIR
ERROR: No se pudo mover/copy el directorio de datos	ERROR: Could not move/copy the data directory
Directorio de datos no existe: $DATA_DIR (primera instalación?)	Data directory does not exist: $DATA_DIR (first install?)
Eliminando archivos antiguos (preservando datos)...	Removing old files (preserving data)...
Advertencia: El directorio data aún existe, moviéndolo antes de eliminar...	Warning: data directory still exists; moving it before removal...
mv falló al mover $DATA_DIR (segunda fase); intentando cp -a...	mv failed while moving $DATA_DIR (second phase); trying cp -a...
ERROR: No se pudo mover/copy el directorio de datos antes de eliminar	ERROR: Could not move/copy the data directory before removal
Archivos antiguos eliminados	Old files removed
Restaurando directorio de datos...	Restoring data directory...
Directorio de datos restaurado	Data directory restored
✅ Base de datos preservada exitosamente: $DB_SIZE	✅ Database preserved successfully: $DB_SIZE
Advertencia: No se encontró hostberry.db después de restaurar	Warning: hostberry.db not found after restore
Intentando restaurar desde backup...	Trying to restore from backup...
